sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_ku70_1	PO1f_Cas9_ku70_2	PO1f_Cas9_ku70_3
32208	YALI1_A10934g	46	130	60	0	0	0
1244	YALI1_B05646g	35	52	47	2	7	0
26565	YALI1_C16809g	207	247	336	3	0	0
11943	Nontargeting	130	419	857	891	1304	1058
8078	YALI1_A02875g	46	250	464	2	0	0
34241	YALI1_C12024g	65	236	46	0	0	1
21672	YALI1_E27834g	221	218	377	1	0	0
894	YALI1_A19515g	77	173	166	140	403	373
38220	YALI1_C09781t	211	667	720	14	131	136
30147	YALI1_E40076g	32	90	43	0	0	0
36109	YALI1_A07103g	179	315	449	23	52	40
31859	YALI1_A02301g	90	100	415	0	0	0
14463	YALI1_C11382g	18	131	310	9	59	23
12384	YALI1_A08981g	156	283	223	0	0	1
7981	YALI1_A00148g	198	307	145	0	0	0
22438	YALI1_F05900g	116	108	81	0	0	0
4192	YALI1_D21424g	148	385	250	0	0	0
19057	YALI1_F19169g	146	156	159	0	0	1
33259	YALI1_B15310g	429	232	543	1	38	14
11179	YALI1_C32771g	165	325	283	61	124	98
11949	Nontargeting	51	89	26	104	302	305
17276	YALI1_E16820g	62	90	95	0	0	3
35395	YALI1_D09897g	67	70	304	0	0	0
30388	YALI1_F05137g	39	19	13	0	0	0
42805	YALI1_F17603g	160	466	643	0	0	4
14344	YALI1_C07592g	40	0	100	0	0	0
31642	YALI1_F36760g	194	233	260	0	0	1
36254	YALI1_A10907g	196	262	426	6	0	0
2601	YALI1_C12642g	236	139	501	0	0	0
11716	YALI1_D12790g	197	300	908	1	0	1
22491	YALI1_F07510g	35	122	58	0	0	0
25307	YALI1_B12529g	41	136	30	0	12	5
10493	YALI1_C13611g	97	288	488	0	0	0
23519	YALI1_F33123g	166	166	181	0	0	0
31622	YALI1_F36178g	200	231	471	487	629	793
44799	YALI1_E11768g	80	231	170	0	4	0
42844	YALI1_F18857g	301	254	782	11	13	25
10072	YALI1_C01393g	182	165	347	0	8	3
40392	YALI1_D35190g	76	359	548	0	0	0
37127	YALI1_B10231g	127	445	323	43	80	102
21735	YALI1_E29192g	46	48	1	0	0	0
9603	YALI1_B19276g	71	127	122	1	0	0
